DA9 9,03-OCT-2017 16:09,03-OCT-2017 between 22:00 and 23:00,"A fault has occurred on an underground electricity cable affecting the local area, we may have to dig up the road to carry out repairs.",50,INCD-8418-V

GU1 4,02-OCT-2017 07:51,To be confirmed,"A fault has occurred on an underground electricity cable affecting the local area, we may have to dig up the road to carry out repairs.",1,INCD-8192-V

HA1 4,03-OCT-2017 07:00,03-OCT-2017 between 20:30 and 21:30,"A fault has occurred on an underground electricity cable affecting the local area, we may have to dig up the road to carry out repairs.",To Be Confirmed,INCD-1154238-A

"HA3 5,HA3 7",03-OCT-2017 19:17,To be confirmed,A fault has occurred on a piece of our electrical equipment which controls the power to your home.,To Be Confirmed,INCD-1154478-A

N8 8,03-OCT-2017 19:03,03-OCT-2017 between 21:00 and 22:00,A fault has occurred on a piece of our electrical equipment which controls the power to your home.,To Be Confirmed,INCD-1154475-A

NR32 1,03-OCT-2017 06:40,03-OCT-2017 between 20:30 and 21:30,"A fault has occurred on an underground electricity cable affecting the local area, we may have to dig up the road to carry out repairs.",9,INCD-1154234-A

SG13 8,03-OCT-2017 14:22,03-OCT-2017 between 20:00 and 21:00,"We're investigating an electricity cable that has been damaged, causing a power cut in the local area.",36,INCD-1154395-A

"SM1 2,SM3 9",03-OCT-2017 18:29,03-OCT-2017 between 20:30 and 21:30,A fault has occurred on a piece of our electrical equipment which controls the power to your home.,To Be Confirmed,INCD-8441-V

TN11 0,03-OCT-2017 18:28,To be confirmed,A fault has occurred on a piece of our electrical equipment which controls the power to your home.,To Be Confirmed,INCD-8440-V

"W1N 7,W1T 3,W1W 7",03-OCT-2017 11:22,03-OCT-2017 between 20:30 and 21:30,"We're investigating an electricity cable that has been damaged, causing a power cut in the local area.",7,INCD-178075-J

